"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Mothership","MT(TPA)",134,0.23,0.57,0.65,0.77,0.8,0.87,0.92,0.98,1.05,1.1,1.14,1.2,1.25,1.3,1.35,1.41,1.5,1.63,1.8,2.1,5.38,"UT","49","Utah"
"Mothership","MT(No TPA)",117,0.18,0.58,0.85,1.01,1.14,1.23,1.41,1.55,1.62,1.68,1.77,1.81,1.84,1.89,1.99,2.07,2.25,2.57,2.83,3.72,8.75,"UT","49","Utah"
"Transfer","TPA",13,0.27,0.38,0.46,0.49,0.52,0.55,0.56,0.61,0.74,0.81,0.85,0.86,0.87,0.88,0.9,0.93,1.08,1.2,1.26,1.38,1.52,"UT","49","Utah"
"Transfer","MT",223,0.02,0.2,0.34,0.42,0.53,0.6,0.65,0.71,0.77,0.83,0.92,1.02,1.08,1.15,1.25,1.33,1.49,1.71,1.95,2.51,4.63,"UT","49","Utah"
"Transfer","Transfer",1755,0.02,0.28,0.38,0.47,0.52,0.57,0.62,0.7,0.77,0.85,0.97,1.12,1.3,1.52,1.83,2.25,2.97,3.91,6.09,9.91,11.98,"UT","49","Utah"
"Transfer","DIDO",1443,0.07,1,1.25,1.48,1.66,1.85,2.03,2.2,2.38,2.6,2.82,3.05,3.34,3.63,3.93,4.29,4.72,5.2,5.7,7.13,11.87,"UT","49","Utah"
"LKW to EMS","LKW to EMS",413,0.02,0.12,0.18,0.25,0.32,0.4,0.48,0.57,0.73,1,1.4,1.75,2.17,2.77,3.69,4.37,5.53,7.41,8.57,9.74,11.97,"UT","49","Utah"
"PSC","TPA",2408,0.03,0.4,0.48,0.53,0.6,0.63,0.7,0.73,0.78,0.83,0.88,0.93,0.98,1.05,1.13,1.23,1.33,1.47,1.65,2.03,5.43,"VA","51","Virginia"
"Mothership","TPA",1475,0.12,0.3,0.35,0.4,0.45,0.5,0.53,0.58,0.62,0.65,0.7,0.75,0.8,0.87,0.93,1,1.12,1.25,1.46,1.73,9.58,"VA","51","Virginia"
"Mothership","MT(TPA)",312,0.05,0.28,0.43,0.57,0.67,0.75,0.82,0.88,0.92,1,1.08,1.15,1.23,1.32,1.37,1.47,1.59,1.74,1.96,2.21,7.83,"VA","51","Virginia"
"Mothership","MT(No TPA)",826,0.08,0.33,0.53,0.73,0.9,1.08,1.22,1.31,1.42,1.52,1.61,1.7,1.82,1.93,2.05,2.18,2.38,2.63,3.02,3.9,10.05,"VA","51","Virginia"
"Transfer","TPA",15,0.3,0.33,0.36,0.39,0.41,0.48,0.56,0.58,0.63,0.68,0.72,0.74,0.76,0.77,0.79,0.88,1.02,1.28,1.51,1.63,1.63,"VA","51","Virginia"
"Transfer","MT",1085,0.02,0.14,0.23,0.28,0.33,0.37,0.4,0.43,0.48,0.53,0.57,0.62,0.67,0.75,0.83,0.95,1.09,1.27,1.55,2,11.18,"VA","51","Virginia"
"Transfer","Transfer",6769,0.02,0.17,0.27,0.33,0.38,0.43,0.48,0.52,0.58,0.63,0.7,0.78,0.87,0.97,1.08,1.25,1.42,1.7,2.43,4.95,11.97,"VA","51","Virginia"
"Transfer","DIDO",5940,0.02,1.15,1.4,1.6,1.78,1.97,2.15,2.38,2.62,2.88,3.15,3.45,3.85,4.18,4.63,5.07,5.6,6.28,7.17,8.65,11.97,"VA","51","Virginia"
"LKW to EMS","LKW to EMS",5762,0.02,0.17,0.25,0.33,0.42,0.5,0.63,0.77,0.95,1.2,1.47,1.85,2.28,2.85,3.73,4.67,5.75,7.13,8.93,10.42,11.98,"VA","51","Virginia"
"PSC","TPA",93,0.45,0.61,0.67,0.7,0.74,0.78,0.82,0.84,0.89,0.94,0.97,1,1.05,1.08,1.13,1.23,1.29,1.47,1.58,2.08,3.17,"VT","50","Vermont"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VT","50","Vermont"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VT","50","Vermont"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VT","50","Vermont"
"Transfer","TPA",3,0.45,0.49,0.53,0.56,0.6,0.64,0.68,0.72,0.76,0.79,0.83,0.96,1.09,1.22,1.35,1.48,1.61,1.74,1.87,2,2.13,"VT","50","Vermont"
"Transfer","MT",100,0.17,0.4,0.48,0.55,0.58,0.63,0.66,0.73,0.78,0.91,0.93,0.99,1.06,1.12,1.21,1.3,1.49,1.7,2.18,2.57,10.95,"VT","50","Vermont"
"Transfer","Transfer",486,0.02,0.48,0.62,0.75,0.88,1.03,1.15,1.23,1.37,1.54,1.73,1.9,2.25,2.58,3.04,3.8,4.47,6.51,9.03,10.98,11.97,"VT","50","Vermont"
"Transfer","DIDO",370,0.25,1,1.26,1.41,1.56,1.77,1.93,2.15,2.3,2.53,2.7,2.83,3.09,3.44,4.02,4.62,5.05,6.13,7.09,9.04,11.32,"VT","50","Vermont"
"LKW to EMS","LKW to EMS",423,0.03,0.18,0.28,0.38,0.5,0.6,0.8,0.95,1.15,1.46,1.7,2.29,2.99,3.79,4.3,5.5,7.3,8.5,9.91,11.11,11.98,"VT","50","Vermont"
"PSC","TPA",1374,0.08,0.43,0.48,0.53,0.57,0.62,0.66,0.68,0.73,0.78,0.82,0.87,0.9,0.97,1.03,1.1,1.2,1.33,1.55,1.98,7.22,"WA","53","Washington"
"Mothership","TPA",232,0.2,0.38,0.42,0.43,0.48,0.53,0.57,0.58,0.63,0.68,0.72,0.75,0.78,0.82,0.86,0.95,1.02,1.11,1.25,1.56,2.78,"WA","53","Washington"
"Mothership","MT(TPA)",100,0.08,0.17,0.33,0.45,0.58,0.65,0.7,0.74,0.84,0.93,0.97,1.04,1.15,1.21,1.26,1.32,1.47,1.66,2.07,2.23,3.47,"WA","53","Washington"
"Mothership","MT(No TPA)",219,0.07,0.35,0.52,0.65,0.74,0.87,0.97,1.05,1.12,1.22,1.3,1.45,1.55,1.69,1.85,1.93,2.05,2.2,2.48,3.22,9.02,"WA","53","Washington"
"Transfer","TPA",13,0.3,0.36,0.42,0.48,0.53,0.58,0.65,0.71,0.73,0.73,0.73,0.89,1.06,1.25,1.46,1.68,1.85,2.06,2.35,2.7,3.08,"WA","53","Washington"
"Transfer","MT",367,0.05,0.17,0.27,0.3,0.35,0.42,0.48,0.52,0.59,0.7,0.75,0.83,0.92,1,1.12,1.26,1.46,1.77,1.98,2.37,11.12,"WA","53","Washington"
"Transfer","Transfer",3139,0.02,0.18,0.3,0.38,0.45,0.51,0.55,0.6,0.67,0.72,0.78,0.87,0.97,1.13,1.35,1.62,2.07,2.71,3.88,7.02,11.97,"WA","53","Washington"
"Transfer","DIDO",2239,0.03,1.07,1.5,1.82,2.08,2.4,2.68,2.92,3.22,3.47,3.8,4.17,4.6,4.96,5.46,5.96,6.52,7.22,8.07,9.37,11.97,"WA","53","Washington"
"LKW to EMS","LKW to EMS",6660,0.02,0.13,0.22,0.28,0.37,0.45,0.55,0.7,0.87,1.11,1.4,1.82,2.3,2.95,3.73,4.65,5.83,7.42,9.12,10.57,11.98,"WA","53","Washington"
"PSC","TPA",1861,0.12,0.43,0.5,0.57,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.07,1.13,1.22,1.32,1.45,1.6,1.82,2.28,7.28,"WI","55","Wisconsin"
"Mothership","TPA",556,0.12,0.32,0.37,0.42,0.47,0.5,0.55,0.58,0.65,0.72,0.8,0.85,0.92,0.98,1.03,1.12,1.22,1.37,1.58,1.98,3.47,"WI","55","Wisconsin"
"Mothership","MT(TPA)",136,0.02,0.47,0.68,0.84,0.97,1,1.05,1.12,1.15,1.23,1.26,1.33,1.38,1.5,1.62,1.75,1.87,1.98,2.22,3.08,4.38,"WI","55","Wisconsin"
"Mothership","MT(No TPA)",329,0.02,0.37,0.53,0.85,1.09,1.23,1.52,1.6,1.75,1.83,1.93,2.04,2.13,2.27,2.39,2.55,2.79,2.93,3.29,4.35,11.03,"WI","55","Wisconsin"
"Transfer","TPA",29,0.12,0.28,0.35,0.37,0.4,0.45,0.46,0.47,0.49,0.55,0.63,0.67,0.71,0.77,0.94,1.03,1.16,1.45,1.53,1.7,2.45,"WI","55","Wisconsin"
"Transfer","MT",1103,0.02,0.2,0.27,0.32,0.38,0.45,0.5,0.58,0.67,0.77,0.82,0.9,1,1.12,1.23,1.36,1.53,1.73,2,2.47,10.17,"WI","55","Wisconsin"
"Transfer","Transfer",6735,0.02,0.23,0.33,0.42,0.48,0.52,0.57,0.62,0.68,0.73,0.8,0.85,0.92,1,1.07,1.17,1.28,1.48,1.87,3.27,11.98,"WI","55","Wisconsin"
"Transfer","DIDO",5798,0.02,1.02,1.25,1.43,1.58,1.75,1.92,2.07,2.25,2.45,2.67,2.87,3.13,3.4,3.75,4.17,4.65,5.28,6.21,7.98,11.98,"WI","55","Wisconsin"
"LKW to EMS","LKW to EMS",3825,0.02,0.15,0.22,0.32,0.4,0.5,0.62,0.77,0.95,1.2,1.55,1.9,2.33,3,3.85,4.8,6.02,7.53,9.1,10.5,11.98,"WI","55","Wisconsin"
"PSC","TPA",616,0.17,0.55,0.67,0.75,0.83,0.88,0.95,0.98,1.03,1.13,1.18,1.27,1.35,1.45,1.52,1.62,1.75,1.95,2.28,2.57,4.28,"WV","54","West Virginia"
"Mothership","TPA",337,0.12,0.36,0.4,0.43,0.47,0.5,0.52,0.55,0.58,0.62,0.65,0.68,0.72,0.77,0.8,0.85,0.9,0.96,1.06,1.27,1.97,"WV","54","West Virginia"
"Mothership","MT(TPA)",76,0.07,0.2,0.32,0.35,0.4,0.42,0.46,0.48,0.52,0.58,0.6,0.63,0.7,0.71,0.77,0.8,0.93,1,1.11,1.49,5.82,"WV","54","West Virginia"
"Mothership","MT(No TPA)",133,0.13,0.35,0.59,0.72,0.8,0.85,0.95,1.05,1.12,1.17,1.22,1.32,1.38,1.4,1.5,1.57,1.7,1.8,1.92,2.32,8.9,"WV","54","West Virginia"
"Transfer","TPA",16,0.43,0.5,0.53,0.54,0.57,0.57,0.6,0.66,0.75,0.76,0.77,0.8,0.83,0.86,0.91,1.09,1.52,2.18,3.28,4.45,5.32,"WV","54","West Virginia"
"Transfer","MT",168,0.05,0.18,0.25,0.33,0.38,0.47,0.57,0.67,0.79,0.87,0.91,1.07,1.15,1.23,1.28,1.38,1.48,1.62,1.87,2.27,8.32,"WV","54","West Virginia"
"Transfer","Transfer",1930,0.02,0.34,0.45,0.55,0.62,0.7,0.77,0.83,0.93,1.02,1.1,1.23,1.37,1.57,1.79,2.03,2.32,2.73,3.84,6.65,11.97,"WV","54","West Virginia"
"Transfer","DIDO",1304,0.02,1.3,1.59,1.78,1.98,2.18,2.37,2.52,2.73,2.96,3.18,3.42,3.63,3.93,4.32,4.85,5.28,5.9,6.79,8.25,11.97,"WV","54","West Virginia"
"LKW to EMS","LKW to EMS",1545,0.02,0.17,0.25,0.33,0.43,0.55,0.67,0.83,1.02,1.2,1.5,1.85,2.35,3,3.68,4.82,6.02,7.2,8.39,10.13,11.97,"WV","54","West Virginia"
"PSC","TPA",183,0.23,0.35,0.42,0.45,0.5,0.53,0.58,0.63,0.65,0.68,0.73,0.77,0.82,0.92,1,1.07,1.22,1.3,1.56,2.31,3.93,"WY","56","Wyoming"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY","56","Wyoming"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY","56","Wyoming"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY","56","Wyoming"
"Transfer","TPA",6,0.57,0.58,0.6,0.62,0.63,0.63,0.63,0.63,0.63,0.66,0.69,0.72,0.75,0.75,0.76,0.76,0.77,0.81,0.85,0.89,0.93,"WY","56","Wyoming"
"Transfer","MT",16,0.25,0.55,0.71,0.78,0.8,0.81,0.85,0.89,0.9,0.92,0.94,0.96,1,1.01,1.07,1.2,1.4,1.65,2.23,4.35,9.25,"WY","56","Wyoming"
"Transfer","Transfer",167,0.1,0.31,0.85,0.97,1.07,1.13,1.18,1.27,1.33,1.38,1.48,1.58,1.68,1.8,2.13,2.5,2.91,3.68,7.54,9.73,11.9,"WY","56","Wyoming"
"Transfer","DIDO",132,0.28,0.81,0.95,1.14,1.27,1.5,1.63,1.83,1.92,2,2.15,2.33,2.54,2.99,3.31,3.65,3.9,4.72,5.25,6.68,11.48,"WY","56","Wyoming"
"LKW to EMS","LKW to EMS",83,0.03,0.1,0.13,0.2,0.26,0.34,0.37,0.45,0.53,0.76,1.02,1.19,1.99,2.6,3.23,4.16,6.08,7.48,8.98,10.72,11.97,"WY","56","Wyoming"
