"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Transfer","MT",585,0.02,0.19,0.32,0.41,0.52,0.58,0.68,0.77,0.83,0.9,1.02,1.07,1.13,1.23,1.33,1.5,1.63,1.86,2.32,2.82,11.43,"MO","29","Missouri"
"Transfer","Transfer",5634,0.02,0.32,0.43,0.5,0.58,0.63,0.7,0.75,0.82,0.9,0.98,1.08,1.2,1.33,1.5,1.7,1.97,2.48,3.74,8.64,11.98,"MO","29","Missouri"
"Transfer","DIDO",4250,0.03,0.85,1.08,1.28,1.5,1.68,1.87,2.08,2.3,2.57,2.83,3.13,3.45,3.82,4.3,4.78,5.48,6.22,7.22,8.94,11.98,"MO","29","Missouri"
"LKW to EMS","LKW to EMS",2960,0.02,0.17,0.23,0.32,0.4,0.47,0.57,0.68,0.84,1.07,1.32,1.65,2.12,2.67,3.44,4.38,5.67,7.35,8.88,10.52,11.98,"MO","29","Missouri"
"PSC","TPA",410,0.18,0.38,0.45,0.52,0.58,0.6,0.65,0.72,0.76,0.82,0.86,0.9,0.95,0.98,1.03,1.12,1.19,1.3,1.47,1.79,2.87,"MS","28","Mississippi"
"Mothership","TPA",626,0.12,0.42,0.48,0.52,0.55,0.58,0.62,0.67,0.7,0.73,0.78,0.82,0.87,0.92,0.95,1,1.08,1.18,1.31,1.58,8.48,"MS","28","Mississippi"
"Mothership","MT(TPA)",145,0.08,0.15,0.21,0.26,0.33,0.4,0.47,0.52,0.57,0.61,0.68,0.74,0.78,0.82,0.89,0.95,1.02,1.13,1.32,1.63,5.13,"MS","28","Mississippi"
"Mothership","MT(No TPA)",508,0.3,0.72,0.83,0.92,0.98,1.07,1.15,1.22,1.3,1.35,1.42,1.46,1.52,1.58,1.67,1.75,1.9,2.08,2.27,2.88,11.38,"MS","28","Mississippi"
"Transfer","TPA",21,0.03,0.17,0.38,0.4,0.48,0.5,0.53,0.55,0.6,0.75,0.78,0.8,0.82,0.95,0.97,1.02,1.07,1.2,1.33,2.08,2.52,"MS","28","Mississippi"
"Transfer","MT",68,0.32,0.65,0.77,0.9,1.04,1.23,1.27,1.31,1.35,1.57,1.61,1.63,1.79,1.88,2.05,2.27,2.72,2.9,3.65,5.88,9.62,"MS","28","Mississippi"
"Transfer","Transfer",2436,0.02,0.38,0.5,0.6,0.72,0.8,0.9,0.98,1.08,1.2,1.32,1.43,1.53,1.67,1.82,2.02,2.25,2.67,3.74,7.69,11.97,"MS","28","Mississippi"
