,variable,type,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.,sysBPLow,sysBPHi
67,diasBP,Hemorrhagic,-0.83,0.26,0.38,0.47,0.52,0.57,0.63,0.67,0.72,0.78,0.83,0.88,0.93,0.98,1.02,1.08,1.17,1.23,1.33,1.5,2,1.38,2.25
68,diasBP,Stroke Mimic,,,,,,,,,,,,,,,,,,,,,,,
69,diasBP,Stroke Mimic,-0.97,-0.58,-0.52,-0.47,-0.43,-0.4,-0.38,-0.35,-0.33,-0.32,-0.28,-0.27,-0.23,-0.22,-0.18,-0.17,-0.13,-0.08,-0.03,0.07,1.47,-0.88,-0.12
70,diasBP,Stroke Mimic,-1,-0.47,-0.4,-0.37,-0.33,-0.3,-0.27,-0.23,-0.2,-0.18,-0.15,-0.13,-0.1,-0.08,-0.07,-0.03,0,0.03,0.08,0.17,1.73,-0.12,0
71,diasBP,Stroke Mimic,-0.98,-0.42,-0.37,-0.32,-0.27,-0.23,-0.2,-0.18,-0.15,-0.13,-0.1,-0.08,-0.05,-0.03,0,0.02,0.05,0.08,0.13,0.22,1.52,0,0.07
72,diasBP,Stroke Mimic,-0.85,-0.38,-0.33,-0.28,-0.25,-0.2,-0.17,-0.15,-0.12,-0.1,-0.07,-0.03,-0.02,0,0.03,0.07,0.1,0.13,0.18,0.27,1.4,0.07,0.14
73,diasBP,Stroke Mimic,-0.85,-0.37,-0.3,-0.27,-0.22,-0.18,-0.15,-0.12,-0.08,-0.07,-0.03,-0.02,0.02,0.03,0.07,0.08,0.12,0.15,0.2,0.28,1.72,0.14,0.19
74,diasBP,Stroke Mimic,-0.97,-0.35,-0.28,-0.25,-0.2,-0.17,-0.13,-0.1,-0.07,-0.05,-0.02,0,0.03,0.07,0.08,0.12,0.15,0.18,0.23,0.32,0.77,0.19,0.24
75,diasBP,Stroke Mimic,-1,-0.33,-0.27,-0.23,-0.18,-0.15,-0.12,-0.08,-0.05,-0.02,0,0.03,0.05,0.08,0.1,0.13,0.17,0.22,0.27,0.33,1.62,0.24,0.29
76,diasBP,Stroke Mimic,-1,-0.32,-0.25,-0.22,-0.17,-0.13,-0.1,-0.07,-0.03,-0.02,0.02,0.03,0.07,0.1,0.12,0.15,0.18,0.23,0.28,0.37,1.02,0.29,0.33
77,diasBP,Stroke Mimic,-0.75,-0.32,-0.23,-0.2,-0.17,-0.13,-0.1,-0.07,-0.03,0,0.02,0.05,0.08,0.12,0.13,0.17,0.2,0.25,0.3,0.38,0.98,0.33,0.38
78,diasBP,Stroke Mimic,-0.97,-0.3,-0.23,-0.18,-0.15,-0.12,-0.08,-0.05,-0.02,0.02,0.05,0.07,0.1,0.13,0.17,0.2,0.23,0.28,0.33,0.43,1.7,0.38,0.41
79,diasBP,Stroke Mimic,-0.9,-0.28,-0.22,-0.17,-0.13,-0.1,-0.07,-0.03,0,0.03,0.05,0.08,0.12,0.15,0.18,0.22,0.25,0.3,0.35,0.45,1.9,0.41,0.46
80,diasBP,Stroke Mimic,-0.97,-0.27,-0.18,-0.15,-0.12,-0.08,-0.03,-0.02,0.02,0.05,0.08,0.12,0.15,0.17,0.2,0.23,0.28,0.32,0.38,0.48,1.32,0.46,0.5
81,diasBP,Stroke Mimic,-0.83,-0.25,-0.17,-0.13,-0.1,-0.07,-0.03,0,0.03,0.07,0.08,0.12,0.15,0.18,0.22,0.25,0.28,0.33,0.38,0.48,1.93,0.5,0.55
82,diasBP,Stroke Mimic,-1,-0.23,-0.17,-0.12,-0.08,-0.05,-0.02,0,0.03,0.07,0.1,0.13,0.15,0.18,0.22,0.27,0.3,0.35,0.42,0.52,1.7,0.55,0.61
83,diasBP,Stroke Mimic,-0.97,-0.23,-0.15,-0.1,-0.07,-0.03,0,0.03,0.05,0.08,0.12,0.15,0.18,0.22,0.25,0.28,0.33,0.37,0.45,0.55,1.87,0.61,0.68
84,diasBP,Stroke Mimic,-1,-0.2,-0.12,-0.08,-0.03,0,0.02,0.05,0.08,0.12,0.15,0.17,0.2,0.23,0.28,0.32,0.35,0.42,0.48,0.6,1.58,0.68,0.75
85,diasBP,Stroke Mimic,-0.97,-0.18,-0.1,-0.05,-0.02,0.02,0.05,0.07,0.1,0.13,0.17,0.18,0.22,0.25,0.28,0.33,0.38,0.43,0.5,0.63,1.98,0.75,0.82
86,diasBP,Stroke Mimic,-0.98,-0.17,-0.08,-0.03,0,0.03,0.07,0.1,0.13,0.17,0.18,0.22,0.25,0.28,0.32,0.35,0.4,0.47,0.53,0.65,1.63,0.82,0.91
87,diasBP,Stroke Mimic,-1,-0.13,-0.03,0.02,0.07,0.1,0.13,0.15,0.18,0.22,0.23,0.27,0.3,0.33,0.37,0.4,0.47,0.52,0.6,0.72,1.98,0.91,1.07
88,diasBP,Stroke Mimic,-0.83,-0.07,0.05,0.12,0.17,0.2,0.23,0.27,0.3,0.33,0.37,0.4,0.43,0.47,0.5,0.57,0.62,0.68,0.78,0.93,2,1.07,2.23
