Time,LogitFit,LogitSE
6.4384384,0.1045092,0.0201549
6.4624625,0.1023029,0.0201995
6.4864865,0.1001082,0.0202441
6.5105105,0.097925,0.0202885
6.5345345,0.0957532,0.0203328
6.5585586,0.0935928,0.020377
6.5825826,0.0914437,0.020421
6.6066066,0.089306,0.0204648
6.6306306,0.0871795,0.0205084
6.6546547,0.0850642,0.0205518
6.6786787,0.0829602,0.0205949
6.7027027,0.0808673,0.0206377
6.7267267,0.0787855,0.0206802
6.7507508,0.0767149,0.0207224
6.7747748,0.0746552,0.0207643
6.7987988,0.0726065,0.0208059
6.8228228,0.0705688,0.020847
6.8468468,0.068542,0.0208878
6.8708709,0.0665261,0.0209282
6.8948949,0.0645211,0.0209681
6.9189189,0.0625268,0.0210076
6.9429429,0.0605433,0.0210467
6.966967,0.0585705,0.0210854
6.990991,0.0566084,0.0211235
7.015015,0.0546569,0.0211612
7.039039,0.052716,0.0211984
7.0630631,0.0507857,0.021235
7.0870871,0.0488659,0.0212712
7.1111111,0.0469566,0.0213068
7.1351351,0.0450578,0.0213419
7.1591592,0.0431693,0.0213765
7.1831832,0.0412912,0.0214105
7.2072072,0.0394234,0.0214439
7.2312312,0.0375659,0.0214768
7.2552553,0.0357187,0.0215091
7.2792793,0.0338816,0.0215408
7.3033033,0.0320547,0.0215719
7.3273273,0.030238,0.0216024
7.3513514,0.0284313,0.0216323
7.3753754,0.0266347,0.0216616
7.3993994,0.0248481,0.0216903
7.4234234,0.0230714,0.0217184
7.4474474,0.0213047,0.0217458
7.4714715,0.0195478,0.0217726
7.4954955,0.0178008,0.0217988
7.5195195,0.0160637,0.0218244
7.5435435,0.0143362,0.0218493
7.5675676,0.0126185,0.0218735
7.5915916,0.0109105,0.0218972
7.6156156,0.0092122,0.0219202
7.6396396,0.0075234,0.0219425
7.6636637,0.0058443,0.0219642
7.6876877,0.0041746,0.0219852
7.7117117,0.0025145,0.0220056
7.7357357,0.0008638,0.0220253
7.7597598,-0.0007775,0.0220444
7.7837838,-0.0024094,0.0220628
7.8078078,-0.004032,0.0220806
7.8318318,-0.0056453,0.0220977
7.8558559,-0.0072494,0.0221142
7.8798799,-0.0088442,0.02213
7.9039039,-0.0104299,0.0221452
7.9279279,-0.0120064,0.0221597
7.951952,-0.0135738,0.0221735
7.975976,-0.0151322,0.0221867
8,-0.0166816,0.0221993
8.024024,-0.0182219,0.0222112
8.048048,-0.0197534,0.0222225
8.0720721,-0.0212759,0.0222331
8.0960961,-0.0227896,0.0222431
8.1201201,-0.0242945,0.0222525
8.1441441,-0.0257906,0.0222612
8.1681682,-0.027278,0.0222693
8.1921922,-0.0287567,0.0222768
8.2162162,-0.0302267,0.0222836
8.2402402,-0.0316881,0.0222899
8.2642643,-0.0331409,0.0222955
8.2882883,-0.0345852,0.0223005
8.3123123,-0.036021,0.0223049
8.3363363,-0.0374483,0.0223086
8.3603604,-0.0388672,0.0223118
8.3843844,-0.0402777,0.0223144
8.4084084,-0.0416799,0.0223164
8.4324324,-0.0430738,0.0223178
8.4564565,-0.0444594,0.0223187
8.4804805,-0.0458368,0.0223189
8.5045045,-0.047206,0.0223186
8.5285285,-0.048567,0.0223177
8.5525526,-0.04992,0.0223163
8.5765766,-0.0512649,0.0223142
8.6006006,-0.0526018,0.0223117
8.6246246,-0.0539307,0.0223086
8.6486486,-0.0552516,0.022305
8.6726727,-0.0565647,0.0223008
8.6966967,-0.0578699,0.0222961
8.7207207,-0.0591672,0.0222909
8.7447447,-0.0604568,0.0222851
8.7687688,-0.0617386,0.0222789
